date,china,north-korea,south-korea,bangladesh,india,japan,republic-of-china,thailand,vietnam
2014-01,0.4585110993,0.1838179137,2.0981538511,0.3246321393,0.5652387018,1.0575060021,1.9055828558,0.5207059928000001,0.7053381401000001
2014-02,0.4360024731,0.1265384403,1.7656806072,0.4132623962,0.665301303,0.9875772652,1.7194702399000001,0.5695496664,0.8314221903000001
2014-03,0.3709393567,0.0273786116,1.8772491065999999,0.4920095685,0.7259615561,0.8519590187,1.6433194007,0.6874026017,0.7416537952000001
2014-04,0.35834953410000003,0.013651696000000001,1.8812349367,0.4538984091,0.7527890094,0.7277263723,1.839529994,0.6794453634000001,0.5359865187
2014-05,0.3410799956,0.0856748579,2.2898118992,0.35637207400000004,0.6110418468000001,0.6932755831,1.5841605692,0.5814425705,0.3948203336
2014-06,0.16567721770000002,0.0,0.1765792514,0.2974373234,0.48565295020000004,0.0667614696,1.7732636460000002,0.5114445543,0.3798753387
2014-07,0.2796982592,0.0049303265,2.0933751489,0.2719003709,0.4678012526,0.6593029773,1.9893757544000001,0.48155197180000003,0.3803900407
2014-08,0.4744679827,0.30282544,2.264880694,0.23946838720000002,0.5087227870000001,0.8475087684,2.1796268019,0.2754858938,0.6077042787
2014-09,0.4318510471,0.09745615290000001,2.1658445144,0.40260879320000004,0.6433853358,0.7600322689,1.9585457622,0.5893727824,0.875664572
2014-10,0.4674215638,0.10897725230000001,2.4450832464,0.4003040765,0.6997072888,0.7797649417,2.1143629287,0.5439594011000001,0.8656072256
2014-11,0.28512542150000003,-0.1079754881,2.023769311,0.2070806023,0.49005821260000004,0.6117876483,1.8150669365,0.39327283100000004,0.7629474994000001
2014-12,0.6182341482,0.2622340058,2.6912725199,0.40970476240000003,0.664653142,1.1255549215,1.8529353518,0.5546819993000001,0.7583794859
2015-01,0.4537001989,0.15112745560000002,2.1824503892,0.44246445910000004,0.6577344460000001,1.0160303025,2.0759574881,0.6223174937,1.0027170809
2015-02,0.6116588126,0.2516408908,2.1420758959,0.5352330746,0.8180064206000001,1.075375879,1.9031892734,0.7607816024,1.0754716466
2015-03,0.4282828671,0.0697479261,2.1113592291,0.5901601491,0.7601000932,0.7835853359,1.7506808663000002,0.7158170660000001,0.9722321261
2015-04,0.3895866328,0.0084891377,1.9037069571,0.4784055118,0.751745828,0.7064863285,2.009939104,0.7759061649000001,0.6563349350000001
2015-05,0.2711287482,0.0,1.1621163187,0.44686655500000005,0.6313442509,0.6315090484,1.9715295261999999,0.5822464724,0.5099253769000001
2015-06,0.1855449751,0.0,0.0005963373000000001,0.31589991770000003,0.4989187016,0.0533380914,2.1672970116,0.623573954,0.42840793650000003
2015-07,0.24958953820000002,0.0,1.0675845853,0.3323285103,0.46229855210000004,0.6834720914,1.8244419847,0.4578436531,0.4217890938
2015-08,0.3297570839,0.1272762626,2.1562250099,0.2653545042,0.5109338028,0.6404199198,1.7657490164,0.6428583159,0.7082258260000001
2015-09,0.36598229320000003,0.1667900038,2.4436438643000002,0.32300533670000003,0.5836926024,0.7562229218000001,1.9256679303,0.6355551994,0.8203563324
2015-10,0.3860589579,0.0613286147,2.4550545742,0.4465258435,0.6761557811000001,0.7848609988,1.9781161530000002,0.6278794897000001,0.8864137346000001
2015-11,0.4537265694,0.1560461863,1.9664295014,0.4508612723,0.8023882885,0.7759805633,2.0461826526,0.6142652709,1.0908445712
2015-12,0.5437497876,0.2790519685,2.3670320335,0.4260013368,0.7330978511,0.9120915348,1.9505833357000002,0.6000246167000001,0.9968635983
2016-01,0.3663404402,0.1434188418,2.2455008634,0.28768151210000004,0.5628556443,0.9974434888,1.6547933156,0.5056481505,0.8434761922
2016-02,0.4053200347,0.0370420792,2.1030929977,0.2937064232,0.5832524825000001,0.9280438310000001,1.8586564495000002,0.5591435868,0.8519650227000001
2016-03,0.3447351632,0.0568926461,2.0013267247,0.38334222760000003,0.6754279522000001,0.8146562637,1.7938031371,0.6775856568,0.7558636139
2016-04,0.3023389314,-0.0479957249,1.9920006372,0.3684265613,0.6853286465,0.6638514119000001,1.7725196165,0.7831919927000001,0.8111263938000001
