date,North Hamgyong,Pyongannam-do,North Pyongan,Hwanghaenam-do,Pyongyang,Ryanggang,Kangwon-do,Chagang,Kaesong Industrial Region,Hwanghaebuk-do,Hamgyongnam-do,Kumgang-gun_Kumgangsan Tourist Region,"[u'Chungcheongnam-do', u'Gangwon-do', u'Seoul', u'Gyeongsangbuk-do', u'Gwangju', u'Daejeon', u'Chungcheongbuk-do', u'Jeju-do', u'Gyeonggi-do', u'Jeollanam-do', u'Sejong', u'Daegu', u'Ulsan', u'Gyeongsangnam-do', u'Busan', u'Incheon', u'Jeollabuk-do']"
2014-01,0.1996879175,0.1632551478,0.1774798054,0.1320478565,0.52411869,0.19572873100000002,0.186952623,0.1980306728,5.8349750225,0.1909690845,0.1662287791,0.2322154509,1.4598854771,1.2960380933,44.9456667759,1.3453759515,13.67617651,12.5364894371,1.9268481031,0.9831039902,7.4182084049,0.7016626969,3.9523987956,13.3658786451,5.5404999656000005,2.1658469359,9.6439393342,1.8876166678000001,1.3935422
2014-02,0.1197326957,0.1148513476,0.1629500422,0.0723178292,0.3826055225,0.12933003710000002,0.1160414392,0.16789273970000002,4.5186000726,0.1109210718,0.1074121725,0.1320735201,1.2853111286,1.02939108,38.7438114351,1.1000598975,11.7847777274,10.5587068901,1.7253397508,0.8385439662,6.2953303331,0.5650458243,3.4258777456000002,9.6031093286,4.9794362043,1.8598261936,8.2859058348,1.5728846907,1.2084999984
2014-03,0.007944376000000001,0.0175732593,0.0537933421,0.0128032749,0.3475962046,0.0117180688,0.0512959885,0.0200262031,5.1476949056,0.0567673745,0.0073715802,0.0511952476,1.2703002248,0.8768017052,41.2754669069,1.2346363881,12.4684049522,12.4526701067,1.7816513307,1.037633469,6.3051986292,0.6352127136,3.7642409009,13.4968308878,5.5989716262,2.0901337798,9.5429214493,1.5329391202,1.2617366211
2014-04,-0.023838007,0.0290248255,0.0161877368,-0.0158981626,0.394269388,-0.0321578835,0.1232652251,-0.005430599600000001,5.5020427215000005,0.0646987045,-0.0137140827,0.1175451717,1.4130631332,0.7855989479000001,44.8841661206,1.0947215335,13.4361249588,13.157639174,1.9036740869000002,0.7722759259,6.913276394,0.6292164199,4.171845156,12.8686022822,5.2389248272,1.8572532672,9.0452109349,1.6666407224,1.354457225
2014-05,0.0001844002,0.1564669756,0.011068213300000001,0.1097242021,0.6089161287,0.001756224,0.1479386134,0.02498171,7.4452311198,0.1423966838,0.16381011850000002,0.1215011949,1.6586203743999999,0.9319363906,45.7022362385,1.2898840529,14.8402248476,14.2066020174,2.1336808112,3.3332210675000002,7.4724557757,0.8863661456,4.6729583378,13.5738545343,5.5107659612,2.1462645137,9.4774546439,1.9936675971,1.5630285098
2014-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.886411493,0.0,3.0968e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,0.0,0.0,0.0,0.0036663084,0.0,0.0,0.0316576945,0.0,0.0,0.025127104,0.0,0.0322323392,1.2812119047000001,0.7651118743,46.6622337811,1.9785792542,9.8183252565,11.6603405401,1.7429811367,2.9067026012,7.0680669747,0.6883881845,3.5243984773,12.7873792719,4.9123007917,1.5915446345,7.9964130298,1.7560416033,1.2091495962
2014-08,0.5332431298,0.2550980417,0.2716911367,0.22322156940000001,0.5939019516,0.21956556670000002,0.2567032151,0.2501820638,4.9887433174,0.25904394270000003,0.27932618470000004,0.2411453573,1.7903568091,0.8595098724,39.5782028178,1.2926936433,10.9020025647,11.5060395827,1.7161429431,4.195739747,6.295119945,1.295879665,3.7344320352,12.9407358609,5.4067371309,1.9461660744,8.6489137918,1.9427371774000002,1.4280421691
2014-09,0.2131522602,0.0535443143,0.0649592319,0.030120308800000002,0.4935165582,0.0851739455,0.09421947580000001,0.0435956143,5.1656541091,0.0694582668,0.1015628784,0.054982436200000005,1.3958113792,0.9068326187,41.716280308,1.2920113616,12.4905137607,12.3614313508,1.6932129459,3.047937516,6.4387490312,1.207199408,3.9017080725,12.3939638861,4.8275982974,1.9679533739,8.7808407175,1.8762024049,1.5220297906
2014-10,0.10206766510000001,0.1040650708,0.1548454208,0.0779824573,0.5070604243,0.0459093453,0.1190962596,0.06550056530000001,5.8369649251,0.11745527230000001,0.1319887105,0.1067410379,1.5559428672,0.9015336433000001,42.3195199869,2.1357868559,13.8606406044,13.885896443,1.9844226005,3.2426182848,6.9917027287,1.0276945707,4.4513509391,13.5128883033,10.0050590447,2.3367271295,9.943330469,1.9062806227,1.4716269033
2014-11,-0.11492205820000001,-0.1305187768,-0.088343664,-0.15171137510000002,0.1976525384,-0.15884970510000002,-0.0059702504,-0.15551160190000002,3.8563216772,-0.1064281537,-0.09275083540000001,-0.0557675341,1.2228598906,0.653858758,43.6552096986,1.9299423013,13.3060007416,12.3825652247,1.6885663222,1.7985558037,6.6202745779,0.61590811,4.1088175801,13.3753497051,5.1834581632,2.1177325771,9.6683918285,1.6278486069,1.2155849806
2014-12,0.2501551999,0.24276626680000002,0.2945733625,0.2353265129,0.5693033226,0.2806105414,0.2956217269,0.2680675014,9.8390878531,0.27865521590000003,0.2161416357,0.24211710990000002,2.1735784526,1.665291434,48.8504013761,1.9240818245,16.3680552694,15.9836285085,3.270685872,0.9839560668,9.2872553229,0.9156910678,7.0043108022,15.6515137444,7.0208625775,2.4557420207,11.2716361314,2.1865147379,2.1908474929
2015-01,0.149400357,0.1514832104,0.15848295340000002,0.11647201110000001,0.4290524987,0.1523709987,0.1458197786,0.1620978315,5.4253903902000005,0.1699982147,0.1323464946,0.1767887803,1.4897293371,1.3880988233,45.1240129423,1.395070209,13.9154478411,12.3003485182,2.1459835079,0.8213310885,7.8604542484,0.8005944721,4.6426298546,12.6805595863,5.6067687883,2.200295806,9.8897335131,1.8962438012,1.5276743904
2015-02,0.23540322260000002,0.2569281478,0.2892271092,0.2421891327,0.4867930291,0.2263793486,0.26944675630000003,0.2480016787,4.5543682392000004,0.2908646951,0.2154368335,0.3028767233,1.6064196511,1.2916844087000001,39.0108781127,1.4558317601000001,14.381170948,13.2232266162,2.059245293,0.8028555148000001,7.088521641,0.8696372832,4.3111208749,13.5901281575,5.650566397,2.2363566399,9.335507195,1.8827395391000001,1.5936350506
2015-03,0.034423134200000004,0.06916826870000001,0.07279778170000001,0.0773783915,0.2992594951,0.050410411200000005,0.10529476530000001,0.0570897449,5.1925549629,0.1031819647,0.0684944983,0.0945090883,1.580427988,0.9349434085,45.2834698558,1.2931806895,14.835316929,13.91200265,2.1935562358,1.0000233494,7.4850011778,0.7488929457,5.0013572395,15.1269603803,5.3779356693,2.1281295559,9.8661974699,1.8714305997,1.5404612986
2015-04,-0.0369717945,0.018088220500000002,0.0165458782,0.028278128700000002,0.362306832,-0.033638221100000004,0.0579329671,-0.0156343873,5.6109759991,0.0712063534,-0.0064448285,0.022306106200000002,1.4175734477,0.801703044,42.9187909567,1.1753119977,13.5449720872,13.2835501269,1.9628358579,0.6009273489,6.9678419591,0.6329929721,4.458630226,14.4750853223,5.2629635719,1.9039146295,9.0207919452,1.7598788362,1.3458837421
2015-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2996869413,7.4430000000000006e-06,0.0,0.9882717489,12.961555496,6.1791509592,1.3535894146,0.9452992333,0.9370750682000001,0.744836563,2.0869286529,13.1640755595,5.1454947753,1.9406232102,9.2451102895,0.0076517245,1.5027026476
2015-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097449879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1124607407,0.0,0.0,0.9566715570000001,11.6087827538,2.026456125,0.4109962043,3.1529532521,0.0007111848000000001,1.0815847951,1.0714948204,13.4847754922,4.7507165855,1.7436865433,8.0717144404,0.0,0.7766130639000001
2015-08,0.3241049527,0.046409884500000005,0.0651157171,0.0311478481,0.40234535250000003,0.07008347150000001,0.0609942927,0.0567432239,4.659373748,0.0694568088,0.20195601940000002,0.0922131134,1.4673382727,0.7599192885,36.7500860092,1.0751195107,12.8264538357,12.1998147768,1.7243581894000002,4.2395979562,6.1867130629,1.4478063451,3.9743487373,10.8428017331,4.426476976,1.7479687337,8.3807910518,1.6912909509,1.3124182186
2015-09,0.3538306976,0.4773576171,0.0656542567,0.0778257047,0.5288643502,0.0242481825,0.0827856676,0.0368405,5.3139765813,0.1984404498,0.09904698440000001,0.0458608851,1.6398754538,0.9992395667,43.1209329948,1.8514593379000002,14.2925773525,13.1716907099,1.9180496178,3.834380519,7.0785840071,1.3254006125,4.3725246047,13.8292190983,5.0851184575,2.0650919634,9.3374530935,1.9710033202,1.4350860625
2015-10,0.1235257475,0.0341684065,0.0481940104,0.0512554904,0.5937030571,0.0171369314,0.0611549179,0.0235827149,5.4651708358,0.0659855986,0.0427277022,0.0804894899,1.4553821044,1.102589998,38.9192578637,2.7715221545,13.3689977134,12.6733049978,1.8575166336,2.8351144923,6.6086315178,0.9631926975,4.3741192698999996,14.0689223858,7.5575648853,2.5786790261,10.1753627701,1.8406132613000001,1.3516776474
2015-11,0.1993107943,0.1186509424,0.1353547503,0.118309404,0.3960024565,0.1808042067,0.1864902756,0.1102234373,4.5544953958,0.1528422452,0.1566466853,0.17777518520000002,1.4112049290000002,0.6990788293,40.4657437746,1.4320093334,12.490305187,11.592823884,1.7859334301,1.6165635519000001,6.3954494423,0.802265318,4.2861802313,12.3431652233,6.0541525149,1.9147320499,8.5664325282,1.7832476671,1.3039369131
2015-12,0.4446303287,0.23256533240000002,0.2259631639,0.2253592546,0.5325319268,0.2409913653,0.3493793478,0.2369197384,5.8291579026,0.2646393056,0.2139316531,0.2688674808,1.6878535244,1.3813735291,44.8862876802,2.0883527811,15.5330924007,13.2140051135,2.1928383352,1.4454049542,7.4873482166,0.8011596406,4.6020718379000005,14.0652758753,6.8739975165,2.0633403949,9.9825276446,2.078760421,1.7822406837
2016-01,0.1772439737,0.1484090845,0.14302559950000002,0.0926793556,0.3950332936,0.1501076842,0.13214154790000002,0.1422327415,6.0712108123,0.1431277896,0.12049188400000001,0.1438813914,1.509466598,1.3004101017,43.0739269332,1.5785586882,15.2928786256,14.1628517841,2.2314313774,1.3775352977,8.0479105561,0.7384445261,5.3602998329,14.7055671318,5.7606935664000005,2.0803489144,9.7115464966,1.9568725687000001,1.5630384107
2016-02,0.0408040823,0.025425821,0.0407552908,3.25692e-05,0.2687726938,0.0466415666,0.040733107000000005,0.0379661244,3.7730521178,0.056594297800000005,0.0244163071,0.0622312588,1.4251320637,1.3096474869999999,41.9789646134,1.3326867816,15.8242844121,13.3414871977,1.9525658267,0.46221278460000004,7.7952647945999995,0.6553330251,5.3752463789,15.2785510308,5.5713898323,2.3424115511,10.13344449,1.7422149908,1.4310850115
2016-03,0.059267161500000005,0.0557027997,0.0746845639,0.06458218660000001,0.312334828,0.0459122792,0.0575273974,0.0445930312,0.4133665623,0.0927964131,0.0186688285,0.0879913049,1.4258392818,0.9161137565,40.7889211992,1.2642618582,14.5140182103,13.1556073175,2.0530566959,1.126040228,6.9827904401000005,0.688764275,5.156306372,14.6776821369,5.5805618815999996,2.0477319913,9.3627142985,1.6955574815999999,1.4391885978
2016-04,-0.050015611200000004,-0.0504789955,-0.036398834000000005,-0.0645700466,0.2950683358,-0.0710006163,-0.0213574709,-0.0847563883,0.5242120792,-0.0180647544,-0.0567945464,-0.008622566600000001,1.4324792084,0.8627589624,40.6005938729,1.1963763913,15.61484684,14.9160115426,2.1215416195,1.2719917235,6.7813388094,0.7378983843,5.7848279658,13.5566275655,5.4437817801,1.981574931,8.9666700828,1.6721424846000001,1.5156729203000001
