date,North Hamgyong,Pyongannam-do,North Pyongan,Hwanghaenam-do,Pyongyang,Ryanggang,Kangwon-do,Chagang,Kaesong Industrial Region,Hwanghaebuk-do,Hamgyongnam-do,Kumgang-gun_Kumgangsan Tourist Region
2014-01,0.1996879175,0.1632551478,0.1774798054,0.1320478565,0.52411869,0.19572873100000002,0.186952623,0.1980306728,5.8349750225,0.1909690845,0.1662287791,0.2322154509
2014-02,0.1197326957,0.1148513476,0.1629500422,0.0723178292,0.3826055225,0.12933003710000002,0.1160414392,0.16789273970000002,4.5186000726,0.1109210718,0.1074121725,0.1320735201
2014-03,0.007944376000000001,0.0175732593,0.0537933421,0.0128032749,0.3475962046,0.0117180688,0.0512959885,0.0200262031,5.1476949056,0.0567673745,0.0073715802,0.0511952476
2014-04,-0.023838007,0.0290248255,0.0161877368,-0.0158981626,0.394269388,-0.0321578835,0.1232652251,-0.005430599600000001,5.5020427215000005,0.0646987045,-0.0137140827,0.1175451717
2014-05,0.0001844002,0.1564669756,0.011068213300000001,0.1097242021,0.6089161287,0.001756224,0.1479386134,0.02498171,7.4452311198,0.1423966838,0.16381011850000002,0.1215011949
2014-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014-07,0.0,0.0,0.0,0.0036663084,0.0,0.0,0.0316576945,0.0,0.0,0.025127104,0.0,0.0322323392
2014-08,0.5332431298,0.2550980417,0.2716911367,0.22322156940000001,0.5939019516,0.21956556670000002,0.2567032151,0.2501820638,4.9887433174,0.25904394270000003,0.27932618470000004,0.2411453573
2014-09,0.2131522602,0.0535443143,0.0649592319,0.030120308800000002,0.4935165582,0.0851739455,0.09421947580000001,0.0435956143,5.1656541091,0.0694582668,0.1015628784,0.054982436200000005
2014-10,0.10206766510000001,0.1040650708,0.1548454208,0.0779824573,0.5070604243,0.0459093453,0.1190962596,0.06550056530000001,5.8369649251,0.11745527230000001,0.1319887105,0.1067410379
2014-11,-0.11492205820000001,-0.1305187768,-0.088343664,-0.15171137510000002,0.1976525384,-0.15884970510000002,-0.0059702504,-0.15551160190000002,3.8563216772,-0.1064281537,-0.09275083540000001,-0.0557675341
2014-12,0.2501551999,0.24276626680000002,0.2945733625,0.2353265129,0.5693033226,0.2806105414,0.2956217269,0.2680675014,9.8390878531,0.27865521590000003,0.2161416357,0.24211710990000002
2015-01,0.149400357,0.1514832104,0.15848295340000002,0.11647201110000001,0.4290524987,0.1523709987,0.1458197786,0.1620978315,5.4253903902000005,0.1699982147,0.1323464946,0.1767887803
2015-02,0.23540322260000002,0.2569281478,0.2892271092,0.2421891327,0.4867930291,0.2263793486,0.26944675630000003,0.2480016787,4.5543682392000004,0.2908646951,0.2154368335,0.3028767233
2015-03,0.034423134200000004,0.06916826870000001,0.07279778170000001,0.0773783915,0.2992594951,0.050410411200000005,0.10529476530000001,0.0570897449,5.1925549629,0.1031819647,0.0684944983,0.0945090883
2015-04,-0.0369717945,0.018088220500000002,0.0165458782,0.028278128700000002,0.362306832,-0.033638221100000004,0.0579329671,-0.0156343873,5.6109759991,0.0712063534,-0.0064448285,0.022306106200000002
2015-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08,0.3241049527,0.046409884500000005,0.0651157171,0.0311478481,0.40234535250000003,0.07008347150000001,0.0609942927,0.0567432239,4.659373748,0.0694568088,0.20195601940000002,0.0922131134
2015-09,0.3538306976,0.4773576171,0.0656542567,0.0778257047,0.5288643502,0.0242481825,0.0827856676,0.0368405,5.3139765813,0.1984404498,0.09904698440000001,0.0458608851
2015-10,0.1235257475,0.0341684065,0.0481940104,0.0512554904,0.5937030571,0.0171369314,0.0611549179,0.0235827149,5.4651708358,0.0659855986,0.0427277022,0.0804894899
2015-11,0.1993107943,0.1186509424,0.1353547503,0.118309404,0.3960024565,0.1808042067,0.1864902756,0.1102234373,4.5544953958,0.1528422452,0.1566466853,0.17777518520000002
2015-12,0.4446303287,0.23256533240000002,0.2259631639,0.2253592546,0.5325319268,0.2409913653,0.3493793478,0.2369197384,5.8291579026,0.2646393056,0.2139316531,0.2688674808
2016-01,0.1772439737,0.1484090845,0.14302559950000002,0.0926793556,0.3950332936,0.1501076842,0.13214154790000002,0.1422327415,6.0712108123,0.1431277896,0.12049188400000001,0.1438813914
2016-02,0.0408040823,0.025425821,0.0407552908,3.25692e-05,0.2687726938,0.0466415666,0.040733107000000005,0.0379661244,3.7730521178,0.056594297800000005,0.0244163071,0.0622312588
2016-03,0.059267161500000005,0.0557027997,0.0746845639,0.06458218660000001,0.312334828,0.0459122792,0.0575273974,0.0445930312,0.4133665623,0.0927964131,0.0186688285,0.0879913049
2016-04,-0.050015611200000004,-0.0504789955,-0.036398834000000005,-0.0645700466,0.2950683358,-0.0710006163,-0.0213574709,-0.0847563883,0.5242120792,-0.0180647544,-0.0567945464,-0.008622566600000001
